,amenity,name,addr:street,addr:housenumber,addr:city
814,restaurant,LePetit,Via Vitruvio,47,Milano
816,restaurant,Sagami,Piazza Duca d'Aosta,10,Milano
818,restaurant,City Life,Via Vittor Pisani,26,Milano
821,restaurant,Napule è,Via Alfredo Cappellini,23,Milano
822,restaurant,Osteria Italiana,Via Napo Torriani,22,Milano
823,restaurant,Osteria del Treno,Via San Gregorio,46,Milano
824,restaurant,Tramé,Via Vittor Pisani,14,Milano
825,restaurant,Xier,Via Roberto Lepetit,20,Milano
826,restaurant,CumGranoSalis,Via Volturno,35,Milano
828,restaurant,Caruso Fuori,Via Alessandro Manzoni,29,Milano
829,restaurant,Paper Moon,Via Bagutta,1,Milano
830,restaurant,Ristorante Bagutta,Via Bagutta,14,Milano
831,bar,Red Cafè,Via Panfilo Castaldi,29,Milano
834,restaurant,Sushi You,Via Nicola Antonio Porpora,163,Milano
841,restaurant,Carlo e Camilla in Segheria,Via Giuseppe Meda,24,Milano
842,restaurant,Trattoria Trinacria,Via Savona,57,Milano
843,restaurant,Al Fresco,Via Savona,50,Milano
844,restaurant,New Delhi,Via Alessandro Tadino,1,Milano
845,bar,Impronta birraia,Via Amatore Sciesa,1,Milano
847,restaurant,Da Sabatino,Via Pietro Marocco,17,Milano
849,restaurant,L'Angolo della Pizza,Via Alserio,1,Milano
850,restaurant,Margot Bistrot,Via Carlo Farini,40/A,Milano
851,restaurant,Trattoria Tiberio,Via Carlo Farini,44,Milano
852,bar,150UP,Via Medardo Rosso,16,Milano
853,restaurant,Mamma Farina,Via Pola,11,Milano
854,restaurant,Ginko,Via Giuseppe Ripamonti,1;3,Milano
855,restaurant,Pizzeria Naturale,Via Gaetano De Castillia,24,Milano
856,bar,Glamour,Via Santa Sofia,6,Milano
857,restaurant,Jubin,Piazza Velasca,4,Milano
858,restaurant,Love It,Corso di Porta Romana,16,Milano
860,restaurant,Pane e Farina,Via Pantano,6,Milano
861,restaurant,Sakura,Corso di Porta Romana,44,Milano
862,restaurant,Ten To Ten,Corso di Porta Romana,54,Milano
863,restaurant,Viva,Largo della Crocetta,2,Milano
864,restaurant,Shalimar,Corso di Porta Romana,25,Milano
866,restaurant,bar ristorante Fratelli Colombo,Via Tertulliano,58,Milano
867,restaurant,Verde Luna,Viale Romagna,23,Milano
868,restaurant,Fatto Bene Burger,Via Pietro Borsieri,14,Milano
871,restaurant,Ristorante Terra e Mare,Via Cristoforo Gluck,13,Milano
872,bar,Afterline,Via Giovanni Battista Sammartini,25,Milano
873,restaurant,Al Cuoco di Bordo,Via Cristoforo Gluck,11,Milano
