id,amenity,name,addr:street,addr:housenumber,addr:city
79,restaurant,Asian Delight,Via Montebello,66,Roma
81,restaurant,La Taverna del Ghetto,Via del Portico d'Ottavia,8,Roma
82,restaurant,Nonna Betta,Via del Portico d'Ottavia,16,Roma
83,restaurant,Ristorante Piperno,Monte de' Cenci,9,Roma
84,restaurant,Ba' Ghetto Milky,Via del Portico d'Ottavia,2,Roma
85,restaurant,Ba'Ghetto,Via del Portico d'Ottavia,57,Roma
86,restaurant,Da Enzo,Via dei Vascellari,29,Roma
92,restaurant,Pizzeria L'Economica,Via Tiburtina,44/46,Roma
93,restaurant,Hostaria da Gasparone,Via in Arcione,91,Roma
96,restaurant,Naumachia,Via Celimontana,7,Roma
99,restaurant,Rossi,Via Palestro,57,Roma
101,restaurant,Enoteca Provincia Romana,Foro Traiano,82-84,Roma
102,restaurant,I clementini,Via di San Giovanni in Laterano,106,Roma
105,bar,Volpini,Viale Regina Margherita,310,Roma
109,restaurant,alla Rampa,Piazza Mignanelli,18,Roma
111,bar,San Clemente,Via di San Giovanni in Laterano,126,Roma
112,restaurant,Pommidoro,Piazza dei Sanniti,46,Roma
115,restaurant,Spirito Divino,Via dei Genovesi,13А,Roma
116,restaurant,Target,Via Torino,33,Roma
117,restaurant,Vecchia Roma,Via Ferruccio,12,Roma
119,restaurant,L'angolo di Napoli,Via Agostino Depretis,77,Roma
120,restaurant,La Cucina Nazionale,Via Nazionale,3,Roma
122,restaurant,Ristorante Doney,Via Vittorio Veneto,141,Roma
123,restaurant,La Cuccuma,Via Merulana,221,Roma
125,restaurant,Maccheroni,Piazza delle Coppelle,44,Roma
127,restaurant,Gregory's Live Jazz & Dinner Club,Via Gregoriana,54,Roma
130,restaurant,Asmara,Via Cernaia,36,Roma
131,restaurant,Salumeria Roscioli,Via dei Giubbonari,21,Roma
132,restaurant,Il Sanlorenzo,Via dei Chiavari,4/5,Roma
133,restaurant,Ad Hoc,Via di Ripetta,43,Roma
134,restaurant,PizzaRe,Via di Ripetta,14,Roma
135,restaurant,Ginger,Via Borgognona,43/44,Roma
136,restaurant,Life,Via della Vite,29,Roma
137,restaurant,Palatium Enoteca Regionale del Lazio,Via Frattina,94,Roma
138,restaurant,Crispi 19,Via Francesco Crispi,19,Roma
139,restaurant,Moma,Via di San Basilio,42,Roma
140,restaurant,Osteria 44,Via Aureliana,42/44,Roma
141,restaurant,Le Tamerici,Vicolo Scavolino,79,Roma
142,restaurant,Baccano,Via delle Muratte,23,Roma
143,restaurant,Osteria dell'Ingegno,Piazza di Pietra,45,Roma
144,bar,L'Antica Birreria Peroni,Via di San Marcello,19,Roma
146,restaurant,Trattoria Moderna,Vicolo de' Chiodaroli,16,Roma
147,restaurant,Achilli Enoteca al Parlamento,Via dei Prefetti,15,Roma
148,restaurant,All'oro,Via del Vantaggio,14,Roma
149,restaurant,Armando al Pantheon,Salita de' Crescenzi,31,Roma
150,restaurant,Chinappi,Via Augusto Valenziani,19,Roma
151,restaurant,Gaetano Costa,Via Sicilia,45,Roma
155,restaurant,Monte Arci,Via Castelfidardo,33,Roma
158,restaurant,Il Pastificio,Via Tiburtina,196,Roma
160,restaurant,Cotto,Via Torino,124,Roma
162,restaurant,Hostaria da Pietro,Via di Gesù e Maria,18,Roma
163,restaurant,Edy,Vicolo del Babuino,4,Roma
164,bar,Black Market,Via Panisperna,101,Roma
165,restaurant,La Pantera Rosa,Piazzale del Verano,84,Roma
167,restaurant,La Famiglia Ristorante Trattoria,Via Gaeta,66,Roma
168,restaurant,Hostaria Cannavota,Piazza di San Giovanni in Laterano,20,Roma
169,restaurant,Santa Cristina al Quirinale,Via della Cordonata,21,Roma
170,bar,Costarica,Via Belluno,17,Roma
171,restaurant,Non solo pizza,Viale Ippocrate,106,Roma
175,restaurant,Tomoko Tudini,Via Principe Amedeo,25;27;29,Roma
176,restaurant,Yes Food,Via Catania,53,Roma
178,bar,Oasi,Via Padova,73,Roma
180,restaurant,Kuriya,Via Arenula,48;49,Roma
181,restaurant,La Fontana di Venere,Vicolo dei Modelli,56,Roma
