,Unnamed: 0,codice_regione_ISTAT,codice_nuts_1,descrizione_nuts_1,codice_nuts_2,denominazione_regione,sigla_regione,latitudine_regione,longitudine_regione,range_eta,totale_genere_maschile,totale_genere_femminile,totale_generale
170,189,10,ITI,Centro,ITI2,Umbria,UMB,43.10675841,12.38824698,90+,4112,11027,15139
171,191,02,ITC,Nord-Ovest,ITC2,Valle d'Aosta,VDA,45.73750286,7.320149366,0-19,11332,10633,21965
172,192,02,ITC,Nord-Ovest,ITC2,Valle d'Aosta,VDA,45.73750286,7.320149366,20-29,6144,5726,11870
173,193,02,ITC,Nord-Ovest,ITC2,Valle d'Aosta,VDA,45.73750286,7.320149366,30-39,6648,6526,13174
174,194,02,ITC,Nord-Ovest,ITC2,Valle d'Aosta,VDA,45.73750286,7.320149366,40-49,9196,9359,18555
175,195,02,ITC,Nord-Ovest,ITC2,Valle d'Aosta,VDA,45.73750286,7.320149366,50-59,10316,10441,20757
176,196,02,ITC,Nord-Ovest,ITC2,Valle d'Aosta,VDA,45.73750286,7.320149366,60-69,7850,8210,16060
177,197,02,ITC,Nord-Ovest,ITC2,Valle d'Aosta,VDA,45.73750286,7.320149366,70-79,6184,6905,13089
178,198,02,ITC,Nord-Ovest,ITC2,Valle d'Aosta,VDA,45.73750286,7.320149366,80-89,2994,4806,7800
179,199,02,ITC,Nord-Ovest,ITC2,Valle d'Aosta,VDA,45.73750286,7.320149366,90+,457,1307,1764
180,201,05,ITH,Nord-Est,ITH3,Veneto,VEN,45.43490485,12.33845213,0-19,446677,420684,867361
181,202,05,ITH,Nord-Est,ITH3,Veneto,VEN,45.43490485,12.33845213,20-29,249028,232198,481226
182,203,05,ITH,Nord-Est,ITH3,Veneto,VEN,45.43490485,12.33845213,30-39,267655,265186,532841
183,204,05,ITH,Nord-Est,ITH3,Veneto,VEN,45.43490485,12.33845213,40-49,373557,368495,742052
184,205,05,ITH,Nord-Est,ITH3,Veneto,VEN,45.43490485,12.33845213,50-59,399024,400436,799460
185,206,05,ITH,Nord-Est,ITH3,Veneto,VEN,45.43490485,12.33845213,60-69,293238,309972,603210
186,207,05,ITH,Nord-Est,ITH3,Veneto,VEN,45.43490485,12.33845213,70-79,228669,265774,494443
187,208,05,ITH,Nord-Est,ITH3,Veneto,VEN,45.43490485,12.33845213,80-89,115439,177591,293030
188,209,05,ITH,Nord-Est,ITH3,Veneto,VEN,45.43490485,12.33845213,90+,16430,49080,65510
